class,expiration,feed_name,indicator,property,threat_level,task_id,detected,TimeGenerated,TenantId,Type,_ResourceId
InternetInfrastructure,2027-10-15T22:57:26Z,public-doh-ip,8.8.4.4,InternetInfrastructure_DoHService,0,6bd0a7f8-a154-4ab6-ba7a-79dce668e912,2025-10-15T22:57:26Z,2026-08-18T12:58:43.4398067Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_rpz_feeds_records_CL,
InternetInfrastructure,2027-10-15T22:57:26Z,public-doh-ip,9.9.9.9,InternetInfrastructure_DoHService,0,579d24f8-bed8-489e-b63e-652331cdf118,2025-10-15T22:57:26Z,2026-08-18T12:59:19.8166719Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_rpz_feeds_records_CL,
Suspicious,2026-08-19T06:10:55Z,infoblox-med-risk,topopo.top,Suspicious_Generic,50,06cfe8fa-2cba-4723-b0cb-3a6846f504ec,2026-05-21T06:10:55Z,2026-08-19T05:35:08.6540182Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_rpz_feeds_records_CL,
InternetInfrastructure,2027-10-15T22:57:26Z,public-doh-ip,1.1.1.1,InternetInfrastructure_DoHService,0,157e7744-132e-4a35-9ac1-fb74ce2f8510,2025-10-15T22:57:26Z,2026-08-18T12:57:10.3891988Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_rpz_feeds_records_CL,
Malicious,2026-09-30T09:28:27Z,infoblox-base,whitepanda.info,Malicious_Spam,100,f6754686-666e-4682-812b-0ba735b0a3b9,2026-07-17T09:28:27Z,2026-08-18T06:25:14.313251Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_rpz_feeds_records_CL,
Phishing,2026-09-02T20:02:11Z,infoblox-base,6wt8kvp.hair,Phishing_Generic,100,3b986c2e-b7de-4dc8-bbbf-6772c1b1c64f,2026-08-03T20:02:11Z,2026-08-18T06:26:15.7803589Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_rpz_feeds_records_CL,
Phishing,2026-10-08T03:50:50Z,infoblox-base,zuxiswabobb.pro,Phishing_Generic,100,d5c49b32-8646-42ab-8ce2-14b77b76757a,2026-07-10T03:50:50Z,2026-08-18T06:26:54.0765977Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_rpz_feeds_records_CL,
Malicious,2026-10-19T12:05:45Z,infoblox-base,zelmuoraki.info,Malicious_TDS,100,77dd037a-82bd-4c50-b114-a97bb790e900,2026-06-21T12:05:45Z,2026-08-18T06:27:21.1828678Z,8e42b5a4-1350-4818-abd4-a594af7b6837,dossier_rpz_feeds_records_CL,
