"TimeGenerated [Local Time]","icmp_type",code,"dst_dbi","dst_dbo","dst_tbi","dst_tbo",TenantId,Type,"_ResourceId",ASimMatchingIpAddr,NetworkProtocol,NetworkProtocolVersion,DvcAction,EventResult,EventCount,"EventStartTime [Local Time]","EventEndTime [Local Time]",EventType,EventProduct,EventVendor,EventSchemaVersion,EventSchema,Dvc,NetworkDirection,NetworkDuration,DstBytes,SrcBytes,DstIpAddr,SrcIpAddr,DstPortNumber,DstHostname,SrcHostname,EventSeverity,SrcProcessName,DstProcessName,SrcUsername,DstUsername,DvcIpAddr,DvcHostname,AdditionalFields
"9/18/2024, 3:37:21.000 PM",,,,,,,"d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19","Illumio_Flow_Events_CL",,SrcIpAddr,UDP,IPv4,Allow,Success,1,"9/18/2024, 3:37:21.000 PM","9/18/2024, 3:37:21.000 PM",Flow,Core,Illumio,"0.2.6",NetworkSession,"2x2testvc308.ilabs.io",Inbound,601,,,"10.6.255.255","10.6.35.201",138,"self-serve-mnc-1-vm02",,Informational,,,,,"10.6.35.201",,"{""Class"":""Broadcast"",""Network"":""Corporate"",""Source_Labels"":null,""Dest_Labels"":{""role"":""role11"",""app"":""app1"",""env"":""env1"",""loc"":""loc1""},""Src_href"":"""",""Dst_href"":""/orgs/1/workloads/fe152838-59e8-481e-bae3-f0beb60cfabb""}"
"9/18/2024, 11:48:48.000 AM",,,,,,,"d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19","Illumio_Flow_Events_CL",,SrcIpAddr,UDP,IPv4,Allow,Success,1,"9/18/2024, 11:48:48.000 AM","9/18/2024, 11:48:48.000 AM",Flow,Core,Illumio,"0.2.6",NetworkSession,"2x2testvc308.ilabs.io",Inbound,600,,,"10.6.255.255","10.6.35.201",138,"self-serve-mnc-1-vm02",,Informational,,,,,"10.6.35.201",,"{""Class"":""Broadcast"",""Network"":""Corporate"",""Source_Labels"":null,""Dest_Labels"":{""role"":""role11"",""app"":""app1"",""env"":""env1"",""loc"":""loc1""},""Src_href"":"""",""Dst_href"":""/orgs/1/workloads/fe152838-59e8-481e-bae3-f0beb60cfabb""}"
"9/18/2024, 9:48:42.000 AM",,,,,,,"d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19","Illumio_Flow_Events_CL",,SrcIpAddr,UDP,IPv4,Allow,Success,1,"9/18/2024, 9:48:42.000 AM","9/18/2024, 9:48:42.000 AM",Flow,Core,Illumio,"0.2.6",NetworkSession,"2x2testvc308.ilabs.io",Inbound,601,,,"10.6.255.255","10.6.35.201",138,"self-serve-mnc-1-vm02",,Informational,,,,,"10.6.35.201",,"{""Class"":""Broadcast"",""Network"":""Corporate"",""Source_Labels"":null,""Dest_Labels"":{""role"":""role11"",""app"":""app1"",""env"":""env1"",""loc"":""loc1""},""Src_href"":"""",""Dst_href"":""/orgs/1/workloads/fe152838-59e8-481e-bae3-f0beb60cfabb""}"
"9/18/2024, 12:01:05.000 PM",,,,,,,"d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19","Illumio_Flow_Events_CL",,SrcIpAddr,UDP,IPv4,Allow,Success,1,"9/18/2024, 12:01:05.000 PM","9/18/2024, 12:01:05.000 PM",Flow,Core,Illumio,"0.2.6",NetworkSession,"2x2testvc308.ilabs.io",Inbound,601,,,"10.6.255.255","10.6.35.201",138,"self-serve-mnc-1-vm02",,Informational,,,,,"10.6.35.201",,"{""Class"":""Broadcast"",""Network"":""Corporate"",""Source_Labels"":null,""Dest_Labels"":{""role"":""role11"",""app"":""app1"",""env"":""env1"",""loc"":""loc1""},""Src_href"":"""",""Dst_href"":""/orgs/1/workloads/fe152838-59e8-481e-bae3-f0beb60cfabb""}"
"9/18/2024, 10:13:02.000 AM",,,,,,,"d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19","Illumio_Flow_Events_CL",,SrcIpAddr,UDP,IPv4,Allow,Success,1,"9/18/2024, 10:13:02.000 AM","9/18/2024, 10:13:02.000 AM",Flow,Core,Illumio,"0.2.6",NetworkSession,"2x2testvc308.ilabs.io",Inbound,600,,,"10.6.255.255","10.6.35.201",138,"self-serve-mnc-1-vm02",,Informational,,,,,"10.6.35.201",,"{""Class"":""Broadcast"",""Network"":""Corporate"",""Source_Labels"":null,""Dest_Labels"":{""role"":""role11"",""app"":""app1"",""env"":""env1"",""loc"":""loc1""},""Src_href"":"""",""Dst_href"":""/orgs/1/workloads/fe152838-59e8-481e-bae3-f0beb60cfabb""}"
"9/18/2024, 9:25:03.000 AM",,,,,,,"d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19","Illumio_Flow_Events_CL",,SrcIpAddr,UDP,IPv4,Allow,Success,1,"9/18/2024, 9:25:03.000 AM","9/18/2024, 9:25:03.000 AM",Flow,Core,Illumio,"0.2.6",NetworkSession,"2x2testvc308.ilabs.io",Inbound,600,,,"10.6.255.255","10.6.35.201",138,"self-serve-mnc-1-vm02",,Informational,,,,,"10.6.35.201",,"{""Class"":""Broadcast"",""Network"":""Corporate"",""Source_Labels"":null,""Dest_Labels"":{""role"":""role11"",""app"":""app1"",""env"":""env1"",""loc"":""loc1""},""Src_href"":"""",""Dst_href"":""/orgs/1/workloads/fe152838-59e8-481e-bae3-f0beb60cfabb""}"
"9/18/2024, 2:49:18.000 PM",,,,,,,"d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19","Illumio_Flow_Events_CL",,SrcIpAddr,UDP,IPv4,Allow,Success,1,"9/18/2024, 2:49:18.000 PM","9/18/2024, 2:49:18.000 PM",Flow,Core,Illumio,"0.2.6",NetworkSession,"2x2testvc308.ilabs.io",Inbound,601,,,"10.6.255.255","10.6.35.201",138,"self-serve-mnc-1-vm02",,Informational,,,,,"10.6.35.201",,"{""Class"":""Broadcast"",""Network"":""Corporate"",""Source_Labels"":null,""Dest_Labels"":{""role"":""role11"",""app"":""app1"",""env"":""env1"",""loc"":""loc1""},""Src_href"":"""",""Dst_href"":""/orgs/1/workloads/fe152838-59e8-481e-bae3-f0beb60cfabb""}"
"9/18/2024, 8:01:05.000 AM",,,,,,,"d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19","Illumio_Flow_Events_CL",,SrcIpAddr,UDP,IPv4,Allow,Success,1,"9/18/2024, 8:01:05.000 AM","9/18/2024, 8:01:05.000 AM",Flow,Core,Illumio,"0.2.6",NetworkSession,"2x2testvc308.ilabs.io",Inbound,601,,,"10.6.255.255","10.6.35.201",138,"self-serve-mnc-1-vm02",,Informational,,,,,"10.6.35.201",,"{""Class"":""Broadcast"",""Network"":""Corporate"",""Source_Labels"":null,""Dest_Labels"":{""role"":""role11"",""app"":""app1"",""env"":""env1"",""loc"":""loc1""},""Src_href"":"""",""Dst_href"":""/orgs/1/workloads/fe152838-59e8-481e-bae3-f0beb60cfabb""}"
"9/18/2024, 8:13:03.000 AM",,,,,,,"d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19","Illumio_Flow_Events_CL",,SrcIpAddr,UDP,IPv4,Allow,Success,1,"9/18/2024, 8:13:03.000 AM","9/18/2024, 8:13:03.000 AM",Flow,Core,Illumio,"0.2.6",NetworkSession,"2x2testvc308.ilabs.io",Inbound,600,,,"10.6.255.255","10.6.35.201",138,"self-serve-mnc-1-vm02",,Informational,,,,,"10.6.35.201",,"{""Class"":""Broadcast"",""Network"":""Corporate"",""Source_Labels"":null,""Dest_Labels"":{""role"":""role11"",""app"":""app1"",""env"":""env1"",""loc"":""loc1""},""Src_href"":"""",""Dst_href"":""/orgs/1/workloads/fe152838-59e8-481e-bae3-f0beb60cfabb""}"
"9/18/2024, 10:25:00.000 AM",,,,,,,"d7ed0f2d-2b8e-4537-8e59-525d4d6fdd19","Illumio_Flow_Events_CL",,SrcIpAddr,UDP,IPv4,Allow,Success,1,"9/18/2024, 10:25:00.000 AM","9/18/2024, 10:25:00.000 AM",Flow,Core,Illumio,"0.2.6",NetworkSession,"2x2testvc308.ilabs.io",Inbound,601,,,"10.6.255.255","10.6.35.201",138,"self-serve-mnc-1-vm02",,Informational,,,,,"10.6.35.201",,"{""Class"":""Broadcast"",""Network"":""Corporate"",""Source_Labels"":null,""Dest_Labels"":{""role"":""role11"",""app"":""app1"",""env"":""env1"",""loc"":""loc1""},""Src_href"":"""",""Dst_href"":""/orgs/1/workloads/fe152838-59e8-481e-bae3-f0beb60cfabb""}"
