TenantId,TimeGenerated,SubType,FaSchemaVersion,TimeProcessed,FlowIntervalStartTime,FlowIntervalEndTime,FlowType,FlowStartTime,FlowEndTime,SrcIp,DestIp,SrcPorts,DestPort,L4Protocol,L7Protocol,IsFlowCapturedAtUdrHop,FlowDirection,FlowStatus,NsgList,NsgRule,NsgRuleType,MacAddress,TargetResourceId,TargetResourceType,FlowLogResourceId,SrcSubscription,DestSubscription,SrcRegion,DestRegion,SrcNic,DestNic,SrcVm,DestVm,SrcSubnet,DestSubnet,SrcApplicationGateway,DestApplicationGateway,SrcLoadBalancer,DestLoadBalancer,SrcLocalNetworkGateway,DestLocalNetworkGateway,SrcExpressRouteCircuit,DestExpressRouteCircuit,ExpressRouteCircuitPeeringType,ConnectionType,ConnectionName,ConnectingVnets,Country,AzureRegion,FlowEncryption,AllowedInFlows,DeniedInFlows,AllowedOutFlows,DeniedOutFlows,PacketsDestToSrc,PacketsSrcToDest,BytesDestToSrc,BytesSrcToDest,CompletedFlows,SrcPublicIps,DestPublicIps,AclGroup,AclRule,Status,PrivateEndpointResourceId,PrivateLinkResourceId,PrivateLinkResourceName,SrcServiceId,DestServiceId,SrcServiceName,DestServiceName,SrcTenantId,DestTenantId,SrcTenantName,DestTenantName,SrcEnvironment,DestEnvironment,SrcCloud,DestCloud,SrcNetworkGroups,DestNetworkGroups,SrcServiceTags,DestServiceTags,SourceSystem,Type
962395e6-9ba1-4ef2-9e07-9700fa3fb740,6/10/2025 9:13:49 AM,FlowLog,3,6/10/2025 9:13:38 AM,6/10/2025 8:00:00 AM,6/10/2025 9:00:00 AM,AzurePublic,6/10/2025 7:59:15 AM,6/10/2025 8:56:09 AM,10.130.39.4,-,-,12000,TCP,entextxid,False,Outbound,Allowed,-,-,-,00-22-48-68-A9-CC,dde4fb71-57d9-42c4-9f27-de325ea5c6b8/prd-gateway-rg/prd-gateway-vnet,VirtualNetwork,dde4fb71-57d9-42c4-9f27-de325ea5c6b8/networkwatcherrg/networkwatcher_japaneast/prd-gateway-vnet-prd-gateway-rg-flowlog,dde4fb71-57d9-42c4-9f27-de325ea5c6b8,-,japaneast,-,unknown-rg/unknown-nic,-,unknown-rg/unknown-vm,-,prd-gateway-rg/prd-gateway-vnet/gatewaysubnet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,eastus,Unencrypted,0,0,48,0,15,58,2125,4333,48,-,20.42.65.202|12|12|16|6|1258|850 20.42.65.200|33|33|39|9|2877|1275 20.42.65.201|3|3|3|0|198|0,resourceGuid:cf58dcef-ef4d-4875-ad3c-7289255be84f,outboundrule-100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NTANetAnalytics
962395e6-9ba1-4ef2-9e07-9700fa3fb740,6/10/2025 9:13:49 AM,FlowLog,3,6/10/2025 9:13:38 AM,6/10/2025 8:00:00 AM,6/10/2025 9:00:00 AM,AzurePublic,6/10/2025 8:01:19 AM,6/10/2025 8:58:54 AM,-,10.130.39.4,-,8444,TCP,pcsync-http,False,Inbound,Allowed,-,-,-,00-22-48-68-A9-CC,dde4fb71-57d9-42c4-9f27-de325ea5c6b8/prd-gateway-rg/prd-gateway-vnet,VirtualNetwork,dde4fb71-57d9-42c4-9f27-de325ea5c6b8/networkwatcherrg/networkwatcher_japaneast/prd-gateway-vnet-prd-gateway-rg-flowlog,-,dde4fb71-57d9-42c4-9f27-de325ea5c6b8,-,japaneast,-,unknown-rg/unknown-nic,-,unknown-rg/unknown-vm,-,prd-gateway-rg/prd-gateway-vnet/gatewaysubnet,-,-,-,-,-,-,-,-,-,-,-,-,-,japaneast,Unencrypted,4,0,0,0,49,58,27352,29220,4,20.210.68.169|0|1|0|0|0|0 20.210.68.170|1|1|15|13|8433|6919 20.210.68.173|3|2|43|36|20787|20433,-,Unspecified,platformrule,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NTANetAnalytics
962395e6-9ba1-4ef2-9e07-9700fa3fb740,6/10/2025 9:13:49 AM,FlowLog,3,6/10/2025 9:13:38 AM,6/10/2025 8:00:00 AM,6/10/2025 9:00:00 AM,ExternalPublic,6/10/2025 8:35:20 AM,6/10/2025 8:36:26 AM,10.130.32.9,-,-,80,TCP,http,False,Outbound,Allowed,-,-,-,60-45-BD-63-43-EF,dde4fb71-57d9-42c4-9f27-de325ea5c6b8/prd-network-rg/prd-iaas01-vnet,VirtualNetwork,dde4fb71-57d9-42c4-9f27-de325ea5c6b8/networkwatcherrg/networkwatcher_japaneast/prd-iaas01-vnet-prd-network-rg-flowlog,dde4fb71-57d9-42c4-9f27-de325ea5c6b8,-,japaneast,-,prd-vm-rg/prd-bs06207,-,prd-vm-rg/prd-bs06,-,prd-network-rg/prd-iaas01-vnet/prd-iaas01-subnet,-,-,-,-,-,-,-,-,-,-,-,-,-,jp,-,Unencrypted,0,0,1,0,4,6,699,786,1,-,23.217.136.190|1|1|6|4|786|699,/subscriptions/dde4fb71-57d9-42c4-9f27-de325ea5c6b8/resourcegroups/prd-network-rg/providers/microsoft.network/networksecuritygroups/prd-iaas01-subnet-nsg,allowvnetoutbound,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NTANetAnalytics
962395e6-9ba1-4ef2-9e07-9700fa3fb740,6/10/2025 9:13:49 AM,FlowLog,3,6/10/2025 9:13:38 AM,6/10/2025 8:00:00 AM,6/10/2025 9:00:00 AM,AzurePublic,6/10/2025 8:12:26 AM,6/10/2025 8:57:47 AM,10.130.32.14,-,-,443,TCP,https,False,Outbound,Allowed,-,-,-,7C-ED-8D-2F-C4-D1,dde4fb71-57d9-42c4-9f27-de325ea5c6b8/prd-network-rg/prd-iaas01-vnet,VirtualNetwork,dde4fb71-57d9-42c4-9f27-de325ea5c6b8/networkwatcherrg/networkwatcher_japaneast/prd-iaas01-vnet-prd-network-rg-flowlog,dde4fb71-57d9-42c4-9f27-de325ea5c6b8,-,japaneast,-,prd-vm-rg/prd-bs09553,-,prd-vm-rg/prd-bs09,-,prd-network-rg/prd-iaas01-vnet/prd-iaas01-subnet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,eastus,Unencrypted,0,0,6,0,41,46,18578,6653,6,-,52.168.117.169|1|1|8|6|1103|3381 52.191.219.104|1|1|9|8|1225|3110 20.42.65.89|1|1|8|6|1103|3381 20.242.181.1|3|3|21|21|3222|8706,/subscriptions/dde4fb71-57d9-42c4-9f27-de325ea5c6b8/resourcegroups/prd-network-rg/providers/microsoft.network/networksecuritygroups/prd-iaas01-subnet-nsg,allowvnetoutbound,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NTANetAnalytics
962395e6-9ba1-4ef2-9e07-9700fa3fb740,6/10/2025 9:13:49 AM,FlowLog,3,6/10/2025 9:13:38 AM,6/10/2025 8:00:00 AM,6/10/2025 9:00:00 AM,AzurePublic,6/10/2025 8:26:49 AM,6/10/2025 8:26:55 AM,-,10.130.33.6,-,22697,TCP,Unknown,False,Inbound,Allowed,-,-,-,7C-ED-8D-30-50-C4,dde4fb71-57d9-42c4-9f27-de325ea5c6b8/prd-hl-rg/prd-hl-vnet,VirtualNetwork,dde4fb71-57d9-42c4-9f27-de325ea5c6b8/networkwatcherrg/networkwatcher_japaneast/prd-hl-vnet-prd-hl-rg-flowlog,-,dde4fb71-57d9-42c4-9f27-de325ea5c6b8,-,japaneast,-,mc_prd-hl-rg_prd-hl-aks1_japaneast/aks-agentpool-17012076-vmss,-,mc_prd-hl-rg_prd-hl-aks1_japaneast/aks-agentpool-17012076-vmss_4,-,prd-hl-rg/prd-hl-vnet/prd-hl-subnet,-,-,-,-,-,-,-,-,-,-,-,-,-,koreasouth,Unencrypted,1,0,0,0,1,1,54,128,1,40.80.32.0|1|1|1|1|128|54,-,Unspecified,platformrule,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NTANetAnalytics
962395e6-9ba1-4ef2-9e07-9700fa3fb740,6/10/2025 9:13:49 AM,FlowLog,3,6/10/2025 9:13:38 AM,6/10/2025 8:00:00 AM,6/10/2025 9:00:00 AM,ExternalPublic,6/10/2025 8:00:03 AM,6/10/2025 8:52:23 AM,-,10.140.38.4,-,443,TCP,https,False,Inbound,Allowed,-,-,-,A0-85-FC-5A-11-62,dde4fb71-57d9-42c4-9f27-de325ea5c6b8/prd-apgw01-rg/prd-apgw01-vnet,VirtualNetwork,dde4fb71-57d9-42c4-9f27-de325ea5c6b8/networkwatcherrg/networkwatcher_japaneast/prd-apgw01-vnet-prd-apgw01-rg-flowlog,-,dde4fb71-57d9-42c4-9f27-de325ea5c6b8,-,japaneast,-,prd-apgw01-rg/prd-apgw01-NIC,-,prd-apgw01-rg/prd-apgw01-VM,-,prd-apgw01-rg/prd-apgw01-vnet/prd-apgw01-subnet,-,dde4fb71-57d9-42c4-9f27-de325ea5c6b8/prd-apgw01-rg/prd-apgw01,-,-,-,-,-,-,-,-,-,-,jp,-,Unencrypted,30,0,0,0,617,1302,4260795,397986,32,125.206.218.54|3|3|27|15|5187|17058 126.152.17.69|3|3|157|107|37952|850555 14.133.94.164|6|6|185|127|76972|1415425 52.197.188.79|3|5|167|50|24446|783549 208.127.164.184|15|15|766|318|253429|1194208,-,resourceGuid:endpointacl,instanceservicehost_systemallowall_d7359e32-3f24-4423-865c-f2a89417857c,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NTANetAnalytics
962395e6-9ba1-4ef2-9e07-9700fa3fb740,6/10/2025 9:13:49 AM,FlowLog,3,6/10/2025 9:13:38 AM,6/10/2025 8:00:00 AM,6/10/2025 9:00:00 AM,AzurePublic,6/10/2025 8:16:35 AM,6/10/2025 8:19:28 AM,10.130.32.6,-,-,443,TCP,https,False,Outbound,Allowed,-,-,-,00-0D-3A-CD-6F-35,dde4fb71-57d9-42c4-9f27-de325ea5c6b8/prd-network-rg/prd-iaas01-vnet,VirtualNetwork,dde4fb71-57d9-42c4-9f27-de325ea5c6b8/networkwatcherrg/networkwatcher_japaneast/prd-iaas01-vnet-prd-network-rg-flowlog,dde4fb71-57d9-42c4-9f27-de325ea5c6b8,-,japaneast,-,prd-vm-rg/prd-bs03229,-,prd-vm-rg/prd-bs03,-,prd-network-rg/prd-iaas01-vnet/prd-iaas01-subnet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,australiaeast,Unencrypted,0,0,3,0,27,28,12324,6176,3,-,20.213.196.214|1|1|8|8|1639|3885 20.37.198.118|2|2|20|19|4537|8439,/subscriptions/dde4fb71-57d9-42c4-9f27-de325ea5c6b8/resourcegroups/prd-network-rg/providers/microsoft.network/networksecuritygroups/prd-iaas01-subnet-nsg,allowvnetoutbound,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NTANetAnalytics
962395e6-9ba1-4ef2-9e07-9700fa3fb740,6/10/2025 9:13:49 AM,FlowLog,3,6/10/2025 9:13:38 AM,6/10/2025 8:00:00 AM,6/10/2025 9:00:00 AM,AzurePublic,6/10/2025 7:59:14 AM,6/10/2025 8:58:57 AM,10.130.39.4,-,-,1886,TCP,leoip,False,Outbound,Allowed,-,-,-,00-22-48-68-A9-CC,dde4fb71-57d9-42c4-9f27-de325ea5c6b8/prd-gateway-rg/prd-gateway-vnet,VirtualNetwork,dde4fb71-57d9-42c4-9f27-de325ea5c6b8/networkwatcherrg/networkwatcher_japaneast/prd-gateway-vnet-prd-gateway-rg-flowlog,dde4fb71-57d9-42c4-9f27-de325ea5c6b8,-,japaneast,-,unknown-rg/unknown-nic,-,unknown-rg/unknown-vm,-,prd-gateway-rg/prd-gateway-vnet/gatewaysubnet,-,-,-,-,-,-,-,-,-,-,-,-,-,-,westus2,Unencrypted,0,0,8,0,194,432,83420,419496,8,-,40.78.243.16|8|8|432|194|419496|83420,resourceGuid:cf58dcef-ef4d-4875-ad3c-7289255be84f,outboundrule-100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NTANetAnalytics
962395e6-9ba1-4ef2-9e07-9700fa3fb740,6/10/2025 9:13:49 AM,FlowLog,3,6/10/2025 9:13:38 AM,6/10/2025 8:00:00 AM,6/10/2025 9:00:00 AM,AzurePublic,6/10/2025 8:32:35 AM,6/10/2025 8:32:41 AM,-,10.130.33.6,-,22720,TCP,Unknown,False,Inbound,Allowed,-,-,-,7C-ED-8D-30-50-C4,dde4fb71-57d9-42c4-9f27-de325ea5c6b8/prd-hl-rg/prd-hl-vnet,VirtualNetwork,dde4fb71-57d9-42c4-9f27-de325ea5c6b8/networkwatcherrg/networkwatcher_japaneast/prd-hl-vnet-prd-hl-rg-flowlog,-,dde4fb71-57d9-42c4-9f27-de325ea5c6b8,-,japaneast,-,mc_prd-hl-rg_prd-hl-aks1_japaneast/aks-agentpool-17012076-vmss,-,mc_prd-hl-rg_prd-hl-aks1_japaneast/aks-agentpool-17012076-vmss_4,-,prd-hl-rg/prd-hl-vnet/prd-hl-subnet,-,-,-,-,-,-,-,-,-,-,-,-,-,koreasouth,Unencrypted,1,0,0,0,1,1,54,128,1,40.80.32.0|1|1|1|1|128|54,-,Unspecified,platformrule,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NTANetAnalytics
