TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna]",Computer,RawData,"id_s","name_s","alias_s","categories_s","intent_d","opportunity_d","log_entries_s",Type,"_ResourceId"
"be1bdd8f-7f98-4798-8c5b-1bb8df908c6f",RestAPI,,,"2023-12-07 12:43:37.739",,,QCwdoU,"Lazarus Group","[""Unit 121"",""Lazarus Hacker Group"",""SectorA01"",""Whois Team"",""Grupo Lazarus"",""Lazarus hacking group"",""DarkSeoul hacking group"",""darkseoul hackers"",""darkseoul hacker group"",""Lazarus"",""North Korea Bureau 121 Unit"",""darkseoul "",""dark seoul gang"",""hiddencobra"",""APT-C-26"",""HIDDEN COBRA"",""lazarus group"",""Bureau 121"",""whois hacking team"",""Lazarus APT"",""GROUP 77"",""라자루스 그룹"",""zinc"",""Zinc"",""Labyrinth Chollima"",""Hastati Group"",""darkseoul group"",""Nickel Academy"",""ZINC"",""ATP-C-26"",""Guardians of Peace"",""라자루스"",""Cyber Warfare Guidance Unit"",""Lazarus Group"",""Appleworm"",""Black Artemis"",""lazarus"",""ITG03"",""Diamond Sleet""]","[{""id"":""Qn3P4k"",""name"":""Financially Motivated""},{""id"":""PD_NyL"",""name"":""Nation State Sponsored""},{""id"":""JW2OHE"",""name"":""Threat Actor""},{""id"":""Qd_6Ic"",""name"":""North Korea Nation State Sponsored""}]",50,77,"[{""watchlist"":{""id"":""report:hAcDjU"",""name"":""Third-Parties Watch List""},""entity"":{""id"":""GCIGh"",""name"":""GitHub""},""severity"":3,""axis"":""intent"",""date"":""2023-07-28T05:38:09Z""},{""entity"":{""id"":""QCwdoU"",""name"":""Lazarus Group""},""severity"":4,""axis"":""capability"",""date"":""2023-05-01T00:00:00Z""},{""watchlist"":{""id"":""report:hAcDjT"",""name"":""Tech Stack Watch List""},""entity"":{""id"":""JQ0FoX"",""name"":""Microsoft Windows 10""},""severity"":1,""axis"":""capability"",""date"":""2023-03-09T00:00:00Z""},{""watchlist"":{""id"":""report:hAcDjT"",""name"":""Tech Stack Watch List""},""entity"":{""id"":""B_HOS"",""name"":""Microsoft Windows""},""severity"":1,""axis"":""capability"",""date"":""2023-08-29T00:00:00Z""}]","RecordedFutureThreatMap_CL",
"be1bdd8f-7f98-4798-8c5b-1bb8df908c6f",RestAPI,,,"2023-12-07 15:43:38.360",,,QCwdoU,"Lazarus Group","[""Unit 121"",""Lazarus Hacker Group"",""SectorA01"",""Whois Team"",""Grupo Lazarus"",""Lazarus hacking group"",""DarkSeoul hacking group"",""darkseoul hackers"",""darkseoul hacker group"",""Lazarus"",""North Korea Bureau 121 Unit"",""darkseoul "",""dark seoul gang"",""hiddencobra"",""APT-C-26"",""HIDDEN COBRA"",""lazarus group"",""Bureau 121"",""whois hacking team"",""Lazarus APT"",""GROUP 77"",""라자루스 그룹"",""zinc"",""Zinc"",""Labyrinth Chollima"",""Hastati Group"",""darkseoul group"",""Nickel Academy"",""ZINC"",""ATP-C-26"",""Guardians of Peace"",""라자루스"",""Cyber Warfare Guidance Unit"",""Lazarus Group"",""Appleworm"",""Black Artemis"",""lazarus"",""ITG03"",""Diamond Sleet""]","[{""id"":""Qn3P4k"",""name"":""Financially Motivated""},{""id"":""PD_NyL"",""name"":""Nation State Sponsored""},{""id"":""JW2OHE"",""name"":""Threat Actor""},{""id"":""Qd_6Ic"",""name"":""North Korea Nation State Sponsored""}]",50,77,"[{""watchlist"":{""id"":""report:hAcDjU"",""name"":""Third-Parties Watch List""},""entity"":{""id"":""GCIGh"",""name"":""GitHub""},""severity"":3,""axis"":""intent"",""date"":""2023-07-28T05:38:09Z""},{""entity"":{""id"":""QCwdoU"",""name"":""Lazarus Group""},""severity"":4,""axis"":""capability"",""date"":""2023-05-01T00:00:00Z""},{""watchlist"":{""id"":""report:hAcDjT"",""name"":""Tech Stack Watch List""},""entity"":{""id"":""JQ0FoX"",""name"":""Microsoft Windows 10""},""severity"":1,""axis"":""capability"",""date"":""2023-03-09T00:00:00Z""},{""watchlist"":{""id"":""report:hAcDjT"",""name"":""Tech Stack Watch List""},""entity"":{""id"":""B_HOS"",""name"":""Microsoft Windows""},""severity"":1,""axis"":""capability"",""date"":""2023-08-29T00:00:00Z""}]","RecordedFutureThreatMap_CL",
"be1bdd8f-7f98-4798-8c5b-1bb8df908c6f",RestAPI,,,"2023-12-07 17:43:38.745",,,QCwdoU,"Lazarus Group","[""Unit 121"",""Lazarus Hacker Group"",""SectorA01"",""Whois Team"",""Grupo Lazarus"",""Lazarus hacking group"",""DarkSeoul hacking group"",""darkseoul hackers"",""darkseoul hacker group"",""Lazarus"",""North Korea Bureau 121 Unit"",""darkseoul "",""dark seoul gang"",""hiddencobra"",""APT-C-26"",""HIDDEN COBRA"",""lazarus group"",""Bureau 121"",""whois hacking team"",""Lazarus APT"",""GROUP 77"",""라자루스 그룹"",""zinc"",""Zinc"",""Labyrinth Chollima"",""Hastati Group"",""darkseoul group"",""Nickel Academy"",""ZINC"",""ATP-C-26"",""Guardians of Peace"",""라자루스"",""Cyber Warfare Guidance Unit"",""Lazarus Group"",""Appleworm"",""Black Artemis"",""lazarus"",""ITG03"",""Diamond Sleet""]","[{""id"":""Qn3P4k"",""name"":""Financially Motivated""},{""id"":""PD_NyL"",""name"":""Nation State Sponsored""},{""id"":""JW2OHE"",""name"":""Threat Actor""},{""id"":""Qd_6Ic"",""name"":""North Korea Nation State Sponsored""}]",50,77,"[{""watchlist"":{""id"":""report:hAcDjU"",""name"":""Third-Parties Watch List""},""entity"":{""id"":""GCIGh"",""name"":""GitHub""},""severity"":3,""axis"":""intent"",""date"":""2023-07-28T05:38:09Z""},{""entity"":{""id"":""QCwdoU"",""name"":""Lazarus Group""},""severity"":4,""axis"":""capability"",""date"":""2023-05-01T00:00:00Z""},{""watchlist"":{""id"":""report:hAcDjT"",""name"":""Tech Stack Watch List""},""entity"":{""id"":""JQ0FoX"",""name"":""Microsoft Windows 10""},""severity"":1,""axis"":""capability"",""date"":""2023-03-09T00:00:00Z""},{""watchlist"":{""id"":""report:hAcDjT"",""name"":""Tech Stack Watch List""},""entity"":{""id"":""B_HOS"",""name"":""Microsoft Windows""},""severity"":1,""axis"":""capability"",""date"":""2023-08-29T00:00:00Z""}]","RecordedFutureThreatMap_CL",
"be1bdd8f-7f98-4798-8c5b-1bb8df908c6f",RestAPI,,,"2023-12-07 23:43:39.687",,,QCwdoU,"Lazarus Group","[""Unit 121"",""Lazarus Hacker Group"",""SectorA01"",""Whois Team"",""Grupo Lazarus"",""Lazarus hacking group"",""DarkSeoul hacking group"",""darkseoul hackers"",""darkseoul hacker group"",""Lazarus"",""North Korea Bureau 121 Unit"",""darkseoul "",""dark seoul gang"",""hiddencobra"",""APT-C-26"",""HIDDEN COBRA"",""lazarus group"",""Bureau 121"",""whois hacking team"",""Lazarus APT"",""GROUP 77"",""라자루스 그룹"",""zinc"",""Zinc"",""Labyrinth Chollima"",""Hastati Group"",""darkseoul group"",""Nickel Academy"",""ZINC"",""ATP-C-26"",""Guardians of Peace"",""라자루스"",""Cyber Warfare Guidance Unit"",""Lazarus Group"",""Appleworm"",""Black Artemis"",""lazarus"",""ITG03"",""Diamond Sleet""]","[{""id"":""Qn3P4k"",""name"":""Financially Motivated""},{""id"":""PD_NyL"",""name"":""Nation State Sponsored""},{""id"":""JW2OHE"",""name"":""Threat Actor""},{""id"":""Qd_6Ic"",""name"":""North Korea Nation State Sponsored""}]",50,77,"[{""watchlist"":{""id"":""report:hAcDjU"",""name"":""Third-Parties Watch List""},""entity"":{""id"":""GCIGh"",""name"":""GitHub""},""severity"":3,""axis"":""intent"",""date"":""2023-07-28T05:38:09Z""},{""entity"":{""id"":""QCwdoU"",""name"":""Lazarus Group""},""severity"":4,""axis"":""capability"",""date"":""2023-05-01T00:00:00Z""},{""watchlist"":{""id"":""report:hAcDjT"",""name"":""Tech Stack Watch List""},""entity"":{""id"":""JQ0FoX"",""name"":""Microsoft Windows 10""},""severity"":1,""axis"":""capability"",""date"":""2023-03-09T00:00:00Z""},{""watchlist"":{""id"":""report:hAcDjT"",""name"":""Tech Stack Watch List""},""entity"":{""id"":""B_HOS"",""name"":""Microsoft Windows""},""severity"":1,""axis"":""capability"",""date"":""2023-08-29T00:00:00Z""}]","RecordedFutureThreatMap_CL",
"be1bdd8f-7f98-4798-8c5b-1bb8df908c6f",RestAPI,,,"2023-12-08 00:44:16.234",,,QCwdoU,"Lazarus Group","[""Unit 121"",""Lazarus Hacker Group"",""SectorA01"",""Whois Team"",""Grupo Lazarus"",""Lazarus hacking group"",""DarkSeoul hacking group"",""darkseoul hackers"",""darkseoul hacker group"",""Lazarus"",""North Korea Bureau 121 Unit"",""darkseoul "",""dark seoul gang"",""hiddencobra"",""APT-C-26"",""HIDDEN COBRA"",""lazarus group"",""Bureau 121"",""whois hacking team"",""Lazarus APT"",""GROUP 77"",""라자루스 그룹"",""zinc"",""Zinc"",""Labyrinth Chollima"",""Hastati Group"",""darkseoul group"",""Nickel Academy"",""ZINC"",""ATP-C-26"",""Guardians of Peace"",""라자루스"",""Cyber Warfare Guidance Unit"",""Lazarus Group"",""Appleworm"",""Black Artemis"",""lazarus"",""ITG03"",""Diamond Sleet""]","[{""id"":""Qn3P4k"",""name"":""Financially Motivated""},{""id"":""PD_NyL"",""name"":""Nation State Sponsored""},{""id"":""JW2OHE"",""name"":""Threat Actor""},{""id"":""Qd_6Ic"",""name"":""North Korea Nation State Sponsored""}]",50,77,"[{""watchlist"":{""id"":""report:hAcDjU"",""name"":""Third-Parties Watch List""},""entity"":{""id"":""GCIGh"",""name"":""GitHub""},""severity"":3,""axis"":""intent"",""date"":""2023-07-28T05:38:09Z""},{""entity"":{""id"":""QCwdoU"",""name"":""Lazarus Group""},""severity"":4,""axis"":""capability"",""date"":""2023-05-01T00:00:00Z""},{""watchlist"":{""id"":""report:hAcDjT"",""name"":""Tech Stack Watch List""},""entity"":{""id"":""JQ0FoX"",""name"":""Microsoft Windows 10""},""severity"":1,""axis"":""capability"",""date"":""2023-03-09T00:00:00Z""},{""watchlist"":{""id"":""report:hAcDjT"",""name"":""Tech Stack Watch List""},""entity"":{""id"":""B_HOS"",""name"":""Microsoft Windows""},""severity"":1,""axis"":""capability"",""date"":""2023-08-29T00:00:00Z""}]","RecordedFutureThreatMap_CL",
"be1bdd8f-7f98-4798-8c5b-1bb8df908c6f",RestAPI,,,"2023-12-08 01:43:40.044",,,QCwdoU,"Lazarus Group","[""Unit 121"",""Lazarus Hacker Group"",""SectorA01"",""Whois Team"",""Grupo Lazarus"",""Lazarus hacking group"",""DarkSeoul hacking group"",""darkseoul hackers"",""darkseoul hacker group"",""Lazarus"",""North Korea Bureau 121 Unit"",""darkseoul "",""dark seoul gang"",""hiddencobra"",""APT-C-26"",""HIDDEN COBRA"",""lazarus group"",""Bureau 121"",""whois hacking team"",""Lazarus APT"",""GROUP 77"",""라자루스 그룹"",""zinc"",""Zinc"",""Labyrinth Chollima"",""Hastati Group"",""darkseoul group"",""Nickel Academy"",""ZINC"",""ATP-C-26"",""Guardians of Peace"",""라자루스"",""Cyber Warfare Guidance Unit"",""Lazarus Group"",""Appleworm"",""Black Artemis"",""lazarus"",""ITG03"",""Diamond Sleet""]","[{""id"":""Qn3P4k"",""name"":""Financially Motivated""},{""id"":""PD_NyL"",""name"":""Nation State Sponsored""},{""id"":""JW2OHE"",""name"":""Threat Actor""},{""id"":""Qd_6Ic"",""name"":""North Korea Nation State Sponsored""}]",50,77,"[{""watchlist"":{""id"":""report:hAcDjU"",""name"":""Third-Parties Watch List""},""entity"":{""id"":""GCIGh"",""name"":""GitHub""},""severity"":3,""axis"":""intent"",""date"":""2023-07-28T05:38:09Z""},{""entity"":{""id"":""QCwdoU"",""name"":""Lazarus Group""},""severity"":4,""axis"":""capability"",""date"":""2023-05-01T00:00:00Z""},{""watchlist"":{""id"":""report:hAcDjT"",""name"":""Tech Stack Watch List""},""entity"":{""id"":""JQ0FoX"",""name"":""Microsoft Windows 10""},""severity"":1,""axis"":""capability"",""date"":""2023-03-09T00:00:00Z""},{""watchlist"":{""id"":""report:hAcDjT"",""name"":""Tech Stack Watch List""},""entity"":{""id"":""B_HOS"",""name"":""Microsoft Windows""},""severity"":1,""axis"":""capability"",""date"":""2023-08-29T00:00:00Z""}]","RecordedFutureThreatMap_CL",
"be1bdd8f-7f98-4798-8c5b-1bb8df908c6f",RestAPI,,,"2023-12-08 02:43:40.051",,,QCwdoU,"Lazarus Group","[""Unit 121"",""Lazarus Hacker Group"",""SectorA01"",""Whois Team"",""Grupo Lazarus"",""Lazarus hacking group"",""DarkSeoul hacking group"",""darkseoul hackers"",""darkseoul hacker group"",""Lazarus"",""North Korea Bureau 121 Unit"",""darkseoul "",""dark seoul gang"",""hiddencobra"",""APT-C-26"",""HIDDEN COBRA"",""lazarus group"",""Bureau 121"",""whois hacking team"",""Lazarus APT"",""GROUP 77"",""라자루스 그룹"",""zinc"",""Zinc"",""Labyrinth Chollima"",""Hastati Group"",""darkseoul group"",""Nickel Academy"",""ZINC"",""ATP-C-26"",""Guardians of Peace"",""라자루스"",""Cyber Warfare Guidance Unit"",""Lazarus Group"",""Appleworm"",""Black Artemis"",""lazarus"",""ITG03"",""Diamond Sleet""]","[{""id"":""Qn3P4k"",""name"":""Financially Motivated""},{""id"":""PD_NyL"",""name"":""Nation State Sponsored""},{""id"":""JW2OHE"",""name"":""Threat Actor""},{""id"":""Qd_6Ic"",""name"":""North Korea Nation State Sponsored""}]",50,77,"[{""watchlist"":{""id"":""report:hAcDjU"",""name"":""Third-Parties Watch List""},""entity"":{""id"":""GCIGh"",""name"":""GitHub""},""severity"":3,""axis"":""intent"",""date"":""2023-07-28T05:38:09Z""},{""entity"":{""id"":""QCwdoU"",""name"":""Lazarus Group""},""severity"":4,""axis"":""capability"",""date"":""2023-05-01T00:00:00Z""},{""watchlist"":{""id"":""report:hAcDjT"",""name"":""Tech Stack Watch List""},""entity"":{""id"":""JQ0FoX"",""name"":""Microsoft Windows 10""},""severity"":1,""axis"":""capability"",""date"":""2023-03-09T00:00:00Z""},{""watchlist"":{""id"":""report:hAcDjT"",""name"":""Tech Stack Watch List""},""entity"":{""id"":""B_HOS"",""name"":""Microsoft Windows""},""severity"":1,""axis"":""capability"",""date"":""2023-08-29T00:00:00Z""}]","RecordedFutureThreatMap_CL",
"be1bdd8f-7f98-4798-8c5b-1bb8df908c6f",RestAPI,,,"2023-12-08 04:44:11.065",,,QCwdoU,"Lazarus Group","[""Unit 121"",""Lazarus Hacker Group"",""SectorA01"",""Whois Team"",""Grupo Lazarus"",""Lazarus hacking group"",""DarkSeoul hacking group"",""darkseoul hackers"",""darkseoul hacker group"",""Lazarus"",""North Korea Bureau 121 Unit"",""darkseoul "",""dark seoul gang"",""hiddencobra"",""APT-C-26"",""HIDDEN COBRA"",""lazarus group"",""Bureau 121"",""whois hacking team"",""Lazarus APT"",""GROUP 77"",""라자루스 그룹"",""zinc"",""Zinc"",""Labyrinth Chollima"",""Hastati Group"",""darkseoul group"",""Nickel Academy"",""ZINC"",""ATP-C-26"",""Guardians of Peace"",""라자루스"",""Cyber Warfare Guidance Unit"",""Lazarus Group"",""Appleworm"",""Black Artemis"",""lazarus"",""ITG03"",""Diamond Sleet""]","[{""id"":""Qn3P4k"",""name"":""Financially Motivated""},{""id"":""PD_NyL"",""name"":""Nation State Sponsored""},{""id"":""JW2OHE"",""name"":""Threat Actor""},{""id"":""Qd_6Ic"",""name"":""North Korea Nation State Sponsored""}]",50,77,"[{""watchlist"":{""id"":""report:hAcDjU"",""name"":""Third-Parties Watch List""},""entity"":{""id"":""GCIGh"",""name"":""GitHub""},""severity"":3,""axis"":""intent"",""date"":""2023-07-28T05:38:09Z""},{""entity"":{""id"":""QCwdoU"",""name"":""Lazarus Group""},""severity"":4,""axis"":""capability"",""date"":""2023-05-01T00:00:00Z""},{""watchlist"":{""id"":""report:hAcDjT"",""name"":""Tech Stack Watch List""},""entity"":{""id"":""JQ0FoX"",""name"":""Microsoft Windows 10""},""severity"":1,""axis"":""capability"",""date"":""2023-03-09T00:00:00Z""},{""watchlist"":{""id"":""report:hAcDjT"",""name"":""Tech Stack Watch List""},""entity"":{""id"":""B_HOS"",""name"":""Microsoft Windows""},""severity"":1,""axis"":""capability"",""date"":""2023-08-29T00:00:00Z""}]","RecordedFutureThreatMap_CL",
"be1bdd8f-7f98-4798-8c5b-1bb8df908c6f",RestAPI,,,"2023-12-08 05:43:40.621",,,QCwdoU,"Lazarus Group","[""Unit 121"",""Lazarus Hacker Group"",""SectorA01"",""Whois Team"",""Grupo Lazarus"",""Lazarus hacking group"",""DarkSeoul hacking group"",""darkseoul hackers"",""darkseoul hacker group"",""Lazarus"",""North Korea Bureau 121 Unit"",""darkseoul "",""dark seoul gang"",""hiddencobra"",""APT-C-26"",""HIDDEN COBRA"",""lazarus group"",""Bureau 121"",""whois hacking team"",""Lazarus APT"",""GROUP 77"",""라자루스 그룹"",""zinc"",""Zinc"",""Labyrinth Chollima"",""Hastati Group"",""darkseoul group"",""Nickel Academy"",""ZINC"",""ATP-C-26"",""Guardians of Peace"",""라자루스"",""Cyber Warfare Guidance Unit"",""Lazarus Group"",""Appleworm"",""Black Artemis"",""lazarus"",""ITG03"",""Diamond Sleet""]","[{""id"":""Qn3P4k"",""name"":""Financially Motivated""},{""id"":""PD_NyL"",""name"":""Nation State Sponsored""},{""id"":""JW2OHE"",""name"":""Threat Actor""},{""id"":""Qd_6Ic"",""name"":""North Korea Nation State Sponsored""}]",50,77,"[{""watchlist"":{""id"":""report:hAcDjU"",""name"":""Third-Parties Watch List""},""entity"":{""id"":""GCIGh"",""name"":""GitHub""},""severity"":3,""axis"":""intent"",""date"":""2023-07-28T05:38:09Z""},{""entity"":{""id"":""QCwdoU"",""name"":""Lazarus Group""},""severity"":4,""axis"":""capability"",""date"":""2023-05-01T00:00:00Z""},{""watchlist"":{""id"":""report:hAcDjT"",""name"":""Tech Stack Watch List""},""entity"":{""id"":""JQ0FoX"",""name"":""Microsoft Windows 10""},""severity"":1,""axis"":""capability"",""date"":""2023-03-09T00:00:00Z""},{""watchlist"":{""id"":""report:hAcDjT"",""name"":""Tech Stack Watch List""},""entity"":{""id"":""B_HOS"",""name"":""Microsoft Windows""},""severity"":1,""axis"":""capability"",""date"":""2023-08-29T00:00:00Z""}]","RecordedFutureThreatMap_CL",
