"solution_name","connector_id","table_name"
"Azure Key Vault","AzureKeyVault","AzureDiagnostics"
"Azure Logic Apps","",""
"Azure Logic Apps","AzureLogicApps_CCP","AzureDiagnostics"
"Azure Network Security Groups","",""
"Azure Network Security Groups","AzureNSG","AzureDiagnostics"
"Azure Resource Graph","",""
"Azure Resource Graph","AzureResourceGraph",""
"Azure SQL Database solution for sentinel","",""
"Azure SQL Database solution for sentinel","AzureSql","AzureDiagnostics"
"Azure Service Bus","",""
"Azure Service Bus","AzureServiceBus_CCP","AzureDiagnostics"
"Azure Storage","",""
"Azure Storage","AzureStorageAccount","AzureMetrics"
"Azure Storage","AzureStorageAccount","StorageBlobLogs"
"Azure Storage","AzureStorageAccount","StorageFileLogs"
"Azure Storage","AzureStorageAccount","StorageQueueLogs"
"Azure Storage","AzureStorageAccount","StorageTableLogs"
"Azure Stream Analytics","",""
"Azure Stream Analytics","AzureStreamAnalytics_CCP","AzureDiagnostics"
"Azure Web Application Firewall (WAF)","",""
"Azure Web Application Firewall (WAF)","WAF","AzureDiagnostics"
"Azure kubernetes Service","",""
"Azure kubernetes Service","AzureKubernetes","AzureDiagnostics"
"Azure kubernetes Service","AzureKubernetes","ContainerInventory"
"Azure kubernetes Service","AzureKubernetes","KubeEvents"
"AzureDevOpsAuditing","",""
"AzureDevOpsAuditing","AzureDevOpsAuditLogs","ADOAuditLogs_CL"
"AzureSecurityBenchmark","",""
"BETTER Mobile Threat Defense (MTD)","",""
"BETTER Mobile Threat Defense (MTD)","BetterMTD","BetterMTDAppLog_CL"
"BETTER Mobile Threat Defense (MTD)","BetterMTD","BetterMTDDeviceLog_CL"
"BETTER Mobile Threat Defense (MTD)","BetterMTD","BetterMTDIncidentLog_CL"
"BETTER Mobile Threat Defense (MTD)","BetterMTD","BetterMTDNetflowLog_CL"
"Barracuda CloudGen Firewall","",""
"Barracuda CloudGen Firewall","BarracudaCloudFirewall","Syslog"
"Barracuda WAF","",""
"Barracuda WAF","Barracuda","Barracuda_CL"
"Barracuda WAF","Barracuda","CommonSecurityLog"
"Barracuda WAF","Barracuda","barracuda_CL"
"Beyond Security beSECURE","",""
"Beyond Security beSECURE","BeyondSecuritybeSECURE","beSECURE_Audit_CL"
"Beyond Security beSECURE","BeyondSecuritybeSECURE","beSECURE_ScanEvent_CL"
"Beyond Security beSECURE","BeyondSecuritybeSECURE","beSECURE_ScanResults_CL"
"BigID","",""
"BigID","BigIDDSPMLogsConnectorDefinition","BigIDDSPMAssetStore_CL"
"BigID","BigIDDSPMLogsConnectorDefinition","BigIDDSPMCatalog_CL"
"BitSight","",""
"BitSight","BitSight","BitsightAlerts_data_CL"
"BitSight","BitSight","BitsightBreaches_data_CL"
"BitSight","BitSight","BitsightCompany_details_CL"
"BitSight","BitSight","BitsightCompany_rating_details_CL"
"BitSight","BitSight","BitsightDiligence_historical_statistics_CL"
"BitSight","BitSight","BitsightDiligence_statistics_CL"
"BitSight","BitSight","BitsightFindings_data_CL"
"BitSight","BitSight","BitsightFindings_summary_CL"
"BitSight","BitSight","BitsightGraph_data_CL"
"BitSight","BitSight","BitsightIndustrial_statistics_CL"
"BitSight","BitSight","BitsightObservation_statistics_CL"
"Bitglass","",""
"Bitglass","Bitglass","BitglassLogs_CL"
"Bitwarden","",""
"Bitwarden","BitwardenEventLogs","BitwardenEventLogs_CL"
