"TimeGenerated [UTC]","data_datasets_s","data_dates_s","end_date_s","ip_s","request_id_g","size_d","start_date_s","total_d",Type
"5/15/2025, 2:27:42.105 PM","[{""label"":""iot"",""tag_id"":1055,""data"":[1.3025444386693581,1.2891228829511787],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""nas"",""tag_id"":178,""data"":[0.1661076859229601,0.20017870635185495],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""openresolvers"",""tag_id"":4,""data"":[5.132006174745336,5.3450443824929312],""css_color"":""#bf590e"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""proxy"",""tag_id"":6,""data"":[0.56024278943204986,0.4740194313230055],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""residential"",""tag_id"":814,""data"":[0.0431547711402858,0.0080106882285461943],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""router"",""tag_id"":180,""data"":[21.16991571319754,22.83439809823501],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""satellite"",""tag_id"":1841,""data"":[0.050128808933166395,0.012427546501580232],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""scanner"",""tag_id"":2,""data"":[9.7903642156592348,10.51972095842579],""css_color"":""#bf590e"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""shared-host"",""tag_id"":169,""data"":[0.16158209550732738,0.16108521558195729],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""vpn"",""tag_id"":177,""data"":[19.985416574710488,20.744561885862066],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]}]","[""2025-05-14"",""2025-05-15""]","2025-05-15","1.1.1.1","f3cd6719-eefd-5379-87c1-a4d9e4c59041",10,"2025-05-14",0,"Top_Tags_By_IP_Data_CL"
"5/15/2025, 2:34:43.666 PM","[{""label"":""iot"",""tag_id"":1055,""data"":[1.3025444386693581,1.2891228829511787],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""nas"",""tag_id"":178,""data"":[0.1661076859229601,0.20017870635185495],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""openresolvers"",""tag_id"":4,""data"":[5.132006174745336,5.3450443824929312],""css_color"":""#bf590e"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""proxy"",""tag_id"":6,""data"":[0.56024278943204986,0.4740194313230055],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""residential"",""tag_id"":814,""data"":[0.0431547711402858,0.0080106882285461943],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""router"",""tag_id"":180,""data"":[21.16991571319754,22.83439809823501],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""satellite"",""tag_id"":1841,""data"":[0.050128808933166395,0.012427546501580232],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""scanner"",""tag_id"":2,""data"":[9.7903642156592348,10.51972095842579],""css_color"":""#bf590e"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""shared-host"",""tag_id"":169,""data"":[0.16158209550732738,0.16108521558195729],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""vpn"",""tag_id"":177,""data"":[19.985416574710488,20.744561885862066],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]}]","[""2025-05-14"",""2025-05-15""]","2025-05-15","1.1.1.1","32b15561-8510-54d9-b2e5-6b5883f7e694",10,"2025-05-14",0,"Top_Tags_By_IP_Data_CL"
"5/15/2025, 2:05:44.199 PM","[{""label"":""iot"",""tag_id"":1055,""data"":[1.3025428517174547,1.2871706585055809],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""nas"",""tag_id"":178,""data"":[0.16610805131576781,0.20107407113302123],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""openresolvers"",""tag_id"":4,""data"":[5.132017463796382,5.32075309548791],""css_color"":""#bf590e"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""proxy"",""tag_id"":6,""data"":[0.56024402181744315,0.47482930225182612],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""residential"",""tag_id"":814,""data"":[0.043154866069324789,0.0081067830802693062],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""router"",""tag_id"":180,""data"":[21.169952901505763,22.763398793665065],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""satellite"",""tag_id"":1841,""data"":[0.050128919203236942,0.012271570911419137],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""scanner"",""tag_id"":2,""data"":[9.7903857518611836,10.509354070060247],""css_color"":""#bf590e"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""shared-host"",""tag_id"":169,""data"":[0.16158245094503773,0.15965837978360253],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""vpn"",""tag_id"":177,""data"":[19.985430711877626,20.732308073455382],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]}]","[""2025-05-14"",""2025-05-15""]","2025-05-15","1.1.1.1","a0ee746f-892c-5aaa-b59f-5e0c50ae493f",10,"2025-05-14",0,"Top_Tags_By_IP_Data_CL"
"5/15/2025, 2:21:40.282 PM","[{""label"":""cdn"",""tag_id"":176,""data"":[0.055750238929595415,0.094846664558963012],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""cloud"",""tag_id"":82,""data"":[0.11150047785919083,0.052692591421646111],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""iot"",""tag_id"":1055,""data"":[1.0672188595093979,0.65338813362841186],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""nas"",""tag_id"":178,""data"":[0.38228735266008279,0.021077036568658447],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""openresolvers"",""tag_id"":4,""data"":[2.0468302007008603,0.76931183475603326],""css_color"":""#bf590e"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""proxy"",""tag_id"":6,""data"":[0.50175215036635867,0.54800295078511962],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""residential"",""tag_id"":814,""data"":[0.26282255495380696,0.16861629254926758],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""router"",""tag_id"":180,""data"":[10.751831793564829,7.7563494572663076],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""scanner"",""tag_id"":2,""data"":[10.839439311882765,18.020866266202972],""css_color"":""#bf590e"",""dates"":[""2025-05-14"",""2025-05-15""]},{""label"":""vpn"",""tag_id"":177,""data"":[8.80057343102899,7.2083465064811891],""css_color"":""#005580"",""dates"":[""2025-05-14"",""2025-05-15""]}]","[""2025-05-14"",""2025-05-15""]","2025-05-15","100.200.100.100","bd6f8e5b-cce1-5753-acf9-eff7dd02903a",10,"2025-05-14",0,"Top_Tags_By_IP_Data_CL"
